algo, page size, prepage, swaps
clock, 1, +,
clock, 1, -,
clock, 2, +, 94663
clock, 2, -, 138153
clock, 4, +, 92810
clock, 4, -, 114413
clock, 8, +, 90755
clock, 8, -, 101206
clock, 16, +, 94722
clock, 16, -, 93343
fifo, 1, +,
fifo, 1, -,
fifo, 2, +, 99034
fifo, 2, -, 146302
fifo, 4, +, 105326
fifo, 4, -, 124997
fifo, 8, +, 117617
fifo, 8, -, 116630
fifo, 16, +, 127357
fifo, 16, -, 117161
lru, 1, +,
lru, 1, -,
lru, 2, +, 94008
lru, 2, -, 138176
lru, 4, +, 92304
lru, 4, -, 114426
lru, 8, +, 90559
lru, 8, -, 101207
lru, 16, +, 88289
lru, 16, -, 93255
